Timestamp,gender,age,siblings,studentType,university/campus,future_ambition,maths,English,Science,Languages_Sinhala_Tamil,ICT_isStudied,aL_Stream,Combined_mathematics,Physics,Chemistry,information_technology,Biology,Agricultural_science,Languages,Engineering_Technology,Bio_System_Technology,Educational_Medium,sport_ university?,sport_school,likeToCode,Currently_staying_at,attendance_for_lectures,health,range_of_online_courses,Overall,degree_programme
31/01/2020 15:27:00,Female,Under 18,Two,Part time student,ICBT,NETWORK ENGINEER,B,B,B,A,Yes,Mathematics/ Physical Science,B,B,C,,,,,,,Engllish,None,Chess,Yes,Hostel,2,Good,"Udemy, Coursera",4,Higher Diploma in Computer Networks
31/01/2020 15:42:13,Female,Between 18 to 25,One,Full time student,IIT,Quality Assurance Engineer,A,A,A,A,Yes,Biological Science,,C,C,,C,,,,,Engllish,Badminton,Badminton,No,Employed as a QE,4,Good,"Udemy, Coursera, You tube channels, hacker rank, Datacamp",2,Software Enginnering
31/01/2020 15:43:43,Male,Between 18 to 25,One,Full time student,IIT,Quality Assurance Engineer,A,A,A,A,No,Mathematics/ Physical Science,S,S,S,,,,,,,Sinhala,,basketball ,No,Home,5,Very good,,,Software Enginnering
31/01/2020 15:45:09,Male,Between 18 to 25,Four,Full time student,IIT,Website Designer,A,C,B,A,Yes,Mathematics/ Physical Science,S,F,,C,,,C,,,Tamil,Cricket,Cricket,Yes,Hostel,5,Excellent,"Udemy, You tube channels",5,Software Enginnering
31/01/2020 15:45:28,Male,Between 18 to 25,One,Full time student,ICBT,Automotive engineer ,A,A,B,A,Yes,Mathematics/ Physical Science,S,C,S,A,,,,,,Engllish,None,None,No,Home,4,Good,"You tube channels, hacker rank",5,Automotive engineering 
31/01/2020 15:50:40,Male,Between 18 to 25,Two,Full time student,IIT,Quality Assurance Engineer,A,A,A,A,No,Biological Science,,A,B,,B,,,,,Tamil,,"Football, Badminton",Yes,Home,5,Excellent,W3SCHOOLS,5,Software Enginnering
31/01/2020 15:54:06,Male,Between 18 to 25,Three,Part time student,SLIIT,Researcher Consultant Manager,B,A,A,B,No,Mathematics/ Physical Science,A,B,B,C,None,None,None,None,None,Sinhala,None,"Badminton, Cricket",No,Hostel,4,Very good,You tube channels,3,Physical Science
31/01/2020 15:56:12,Female,Under 18,One,Full time student,SLIIT,Scientist,A,B,A,B,No,Biological Science,None,B,C,None,B,None,None,None,None,Engllish,None,None,No,Home,3,Very good,"You tube channels, Some web sites",4,Physical Science
31/01/2020 16:06:29,Male,Above 25,One,Full time student,Ruhuna,Project Manager,A,A,A,C,Yes,Biological Science,,B,C,,C,,C,,,Sinhala,Karate,Chess,Yes,Home,3,Excellent,Nano biology,5,Bachelor of bio science
31/01/2020 16:14:16,Female,Between 18 to 25,One,Full time student,IIT,"Architect, Mobile Security Engineer",A,B,A,A,Yes,Biological Science,,C,C,,B,,,,,Sinhala,None,"Swimming, Chess, Net ball",Yes,,5,Excellent,,3,Software Enginnering
31/01/2020 16:19:21,Male,Between 18 to 25,Two,Part time student,UCIARS (google it for further details ),Agriculture Research Officer,A,A,A,A,Yes,Biological Science,,S,S,,S,,,,,Sinhala,Volleyball Carrom,"Chess, Badminton, Volleyball ",Yes,Hostel,4,Good,Not done,3,B.Ag.Tec.Hons
31/01/2020 16:28:52,Male,Between 18 to 25,Three,Full time student,IIT,Software Engineer,A,A,C,A,Yes,Mathematics/ Physical Science,F,S,S,A,,,,,,Sinhala,,"Swimming, Cricket",Yes,Home,3,Good,"Udemy, Coursera, You tube channels, Datacamp",4,Software Enginnering
31/01/2020 16:35:57,Male,Between 18 to 25,Two,Full time student,SLIIT,Biologists ,C,B,B,A,No,Biological Science,None,C,B,None,A,None,None,None,None,Sinhala,None,Badminton,No,Hostel,3,Good,You tube channels,4,Biological Sciences
31/01/2020 16:37:59,Female,Under 18,None,scholarship,SLIIT,Financial Manager,B,B,B,A,No,Commerce,None,None,None,S,None,None,None,None,None,Sinhala,None,Badminton,No,Hostel,5,Excellent,You tube channels,3,BBA(Hons) - in Accounting & Finance
31/01/2020 16:40:32,Male,Between 18 to 25,Three,Part time student,SLIIT,IT Consultant,B,A,A,A,Yes,Arts,None,None,None,C,None,None,B,None,None,Sinhala,None,"Swimming, Chess, Cricket",No,Hostel,2,Very good,"Udemy, You tube channels",4,in Business Analytics
31/01/2020 16:46:56,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,C,A,No,Commerce,None,None,None,None,None,None,None,None,None,Engllish,None,None,Yes,Home,3,Excellent,"Udemy, You tube channels",4,Software Enginnering
31/01/2020 18:01:47,Male,Between 18 to 25,None,scholarship,IIT,Businessmen,A,A,A,B,Yes,Mathematics/ Physical Science,S,S,None,C,None,None,None,None,None,Sinhala,None,"Chess, Badminton, Boxing",Yes,Home,5,Excellent,"Udemy, Coursera, You tube channels, Datacamp",4,Software Enginnering
31/01/2020 18:04:58,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,C,B,C,A,No,Biological Science,,S,S,,S,,,,,Sinhala,None,"Chess, Baseball",Yes,,5,Very good,You tube channels,4,Software Enginnering
31/01/2020 18:06:11,Male,Above 25,One,Full time student,IIT,"Architect, Mobile Security Engineer",C,C,C,B,Yes,Biological Science,,C,C,,C,,,,,Sinhala,None,None,Yes,Home,3,Good,Udemy,4,Computer Science
31/01/2020 18:37:00,Male,Between 18 to 25,None,Full time student,IIT,Software Engineer,A,A,A,A,Yes,Mathematics/ Physical Science,C,B,C,,,,,,,Engllish,Chess,"Chess, Badminton",Yes,Home,5,Very good,"Udemy, Coursera, You tube channels, hacker rank",3,Software Enginnering
31/01/2020 18:37:02,Male,Between 18 to 25,One,Full time student,IIT,UI/UX Engineer,A,A,A,B,Yes,Mathematics/ Physical Science,S,C,S,,,,,,,Engllish,Badminton,"Chess, Badminton, Cricket",Yes,Home,3,Very good,"Udemy, Coursera, You tube channels, Sanfoundary",4,Business Information Systems
31/01/2020 19:19:03,Male,Between 18 to 25,One,Part time student,ESOFT,Software Engineer,C,S,S,A,Yes,Technology stream,,,,S,,,,S,,Sinhala,Pool,Rugby,Yes,Home,2,Very good,Datacamp,5,Software Enginnering
31/01/2020 19:20:42,Male,Between 18 to 25,Two,Full time student,IIT,Website Designer,A,A,A,A,Yes,Mathematics/ Physical Science,S,S,S,,,,,,,Sinhala,,"Football, Chess",Yes,Friend's home,4,Very good,,2,Software Enginnering
31/01/2020 19:26:24,Male,Between 18 to 25,Three,Full time student,IIT,Businessmen,A,A,C,A,No,Mathematics/ Physical Science,F,S,C,,,,,,,Sinhala,Football,Football,Yes,sister''s home,5,Poor,"Udemy, You tube channels",3,Software Enginnering
31/01/2020 19:41:58,Female,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,A,B,Yes,Mathematics/ Physical Science,B,B,B,,,,,,,Engllish,None,None,No,Home,4,Very good,"Udemy, Coursera, You tube channels, hacker rank, Datacamp",3,Software Enginnering
